"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"KO";"Coca-Cola Company";"Consumer Staples";59.59;-0.26778218;7185346;2.07;1.6
"KR";"Kroger Co.";"Consumer Staples";28.44;1.0661021;4010973;1.958;0.6
"KSS";"Kohl's Corp.";"Consumer Discretionary";44.44;0.7938273;2690438;4.342;2.62
"KSU";"Kansas City Southern";"Industrials";170.24;-1.0232526;620458;5.4;1.48
"L";"Loews Corp.";"Financials";54.72;-1.9530551;897785;3.07;0.25
"LB";"L Brands Inc.";"Consumer Discretionary";24.59;1.8641291;8113913;1.327;1.5
"LDOS";"Leidos Holdings";"Information Technology";112.14;1.392406;705458;4.591;1.3
"LEG";"Leggett & Platt";"Consumer Discretionary";45.48;1.2466638;811345;2.47;1.58
"LEN";"Lennar Corp.";"Consumer Discretionary";71.22;1.6267114;2519891;5.743;0.16
"LH";"Laboratory Corp. of America Holding";"Health Care";186.12;1.3891091;513026;7.591;NA
"LHX";"L3Harris Technologies";"Industrials";228;-0.69686675;1215840;7.351;3
"LIN";"Linde plc";"Materials";216.22;0.3620492;1342455;9.042;3.45
"LKQ";"LKQ Corporation";"Consumer Discretionary";33.58;1.1750624;923187;1.388;NA
"LLY";"Lilly (Eli) & Co.";"Health Care";144.25;-0.86591613;2933330;8.89;2.58
"LMT";"Lockheed Martin Corp.";"Industrials";439.85;0.020464875;739958;21.95;9
"LNC";"Lincoln National";"Financials";60.55;1.4067998;1552886;4.38;1.51
"LNT";"Alliant Energy Corp";"Utilities";58.39;-0.051350188;1065659;2.236;1.4
"LOW";"Lowe's Cos.";"Consumer Discretionary";123.03;1.501526;2252890;3.734;2.06
"LRCX";"Lam Research";"Information Technology";325.67;1.8259786;1520740;13.504;4.5
"LUV";"Southwest Airlines";"Industrials";57.93;0.888196;2805760;4.27;0.7
"LW";"Lamb Weston Holdings Inc";"Consumer Staples";95.13;0.58151346;649516;3.45;0.8
"LVS";"Las Vegas Sands";"Consumer Discretionary";68.85;1.0123162;3035212;3.499;3.08
"LYB";"LyondellBasell";"Materials";83.97;2.4899316;1557411;9.58;4.15
"LYV";"Live Nation Entertainment";"Communication Services";73.11;0.30182636;802817;0.043;NA
"M";"Macy's Inc.";"Consumer Discretionary";16.36;0.8009924;6666569;3.1;1.51
"MA";"Mastercard Inc.";"Information Technology";330.92;0.19377941;3208576;7.94;1.39
"MAA";"Mid-America Apartments";"Real Estate";141.94;-0.281013;582345;3.07;3.84
"MAR";"Marriott Int'l.";"Consumer Discretionary";147.19;1.0018574;1357367;3.865;1.78
"MAS";"Masco Corp.";"Industrials";47.53;-4.2698946;7846158;2.288;0.495
"MCD";"McDonald's Corp.";"Consumer Discretionary";215.73;1.1819282;2677117;7.877;4.73
"MCHP";"Microchip Technology";"Information Technology";108.86;0.65649474;2767024;2.527;1.463
"MCK";"McKesson Corp.";"Health Care";164.65;1.5480415;3326933;-4.97;1.6
"MCO";"Moody's Corp";"Financials";270.99;0.95369285;927463;6.824;1.94
"MDLZ";"Mondelez International";"Consumer Staples";58.87;-0.16958162;4446654;2.65;1.09
"MDT";"Medtronic plc";"Health Care";118.95;-0.3601946;3494425;3.521;2.08
"MET";"MetLife Inc.";"Financials";52.39;0.98303455;5764680;6.058;1.74
"MGM";"MGM Resorts International";"Consumer Discretionary";32.71;1.8685719;5233639;0.003;0.51
"MHK";"Mohawk Industries";"Consumer Discretionary";128.25;0.74626625;700712;49.89534;NA
